code,default,vn,en,kr
vui.lòng.nhập.thời.gian,"Vui lòng nhập thời gian",,,
vui.lòng.nhập.đầy.đủ.điểm.đi.và.điểm.đón,"Vui lòng nhập đầy đủ điểm đi và điểm đón",,,
chat.vơi.gocheap,"Chát với GoCheap",,,
call.cho.gocheap,"Call cho GoCheap",,,
chat.zalo.vơi.gocheap,"Chát Zalo với GoCheap",,,
mail.cho.gocheap,"Mail cho GoCheap",,,
điểm.đón,"Điểm đón",,,
điểm.đến,"Điểm đến",,,
xem.giá,"Xem Giá",,,
một.chiều,"Một chiều",,,
hai.chiều,"Hai chiều",,,
đề.nghị.gọi.lại,"Đề nghị gọi lại",,,
số.điểm.đón.khách,"Số điểm đón
                            khách",,,
đặt.ngay,"Đặt Ngay",,"Book Now",
họ.tên,"Họ Tên",,,
số.điện.thoại,"Số điện thoại",,,
nhập.email,"Nhập Email",,,
điện.thoại,"Điện thoại",,,
yêu.câu.hoa.đơn.công.thêm.10.gia.dich.vu.tinh.vao.gia.khi.kêt.thuc.chuyên,"Yêu cầu hóa đơn (cộng thêm 10% giá dịch vụ, tính vào giá khi kết
                            thúc chuyến)",,,
tên.công.ty,"Tên công ty",,,
điạ.chỉ.công.ty,"Điạ chỉ công ty",,,
mã.số.thuế,"Mã số thuế",,,
điền.email,"Điền Email",,,
các.câu.hỏi.thường.găp,"Các câu hỏi thường găp",,,
tóm.tắt,"Tóm tắt",,,
đặt.xe,"Đặt xe",,,
đăng.ký.đăng.nhập,"Đăng Ký & Đăng Nhập",,,
đăng.nhập,"Đăng Nhập",,,
email,Email,,,
password,Password,,,
nhập.mật.khẩu,"Nhập mật khẩu",,,
đăng.nhập.với.facebook,"Đăng Nhập Với Facebook",,,
đăng.ký,"Đăng Ký",,,
repassword,RePassword,,,
nhập.lại.mật.khẩu,"Nhập lại mật khẩu",,,
dịch.vụ,"Dịch vụ",,Service,
tại.sao.chọn.gocheap,"Tại sao chọn GOCHEAP",,"Why us",
bảng.giá,"Bảng giá",,Price,
tài.xế,"Tài xế",,Driver,
báo.chí.nói.về.gocheap,"Báo chí nói về GOCHEAP",,"About us",
dịch.vụ.tài.xế,"Dịch vụ tài xế",,"Premium Driver",
lái.xe.cao.cấp,"lái xe cao cấp",,"Rental Service",
sẵn.sàng.sau.30p,"Sẵn sàng sau 30p",,"Ready in 30 minutes",
